userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10063645@N00,1,11,1160719626,1160719626,1,1,0
10063645@N00,2,2,1162254208,1162254208,1,1,0
10063645@N00,3,11,1162340788,1162340788,1,1,0
10063645@N00,4,16,1162700795,1162700795,1,2,0
10063645@N00,4,21,1162701017,1162701029,2,2,12
10063645@N00,5,15,1163143520,1163143520,1,2,0
10063645@N00,5,20,1163145517,1163145805,6,2,288
10063645@N00,6,11,1164183565,1164183565,1,1,0
10063645@N00,7,10,1164347993,1164348917,14,1,924
10063645@N00,8,15,1165557979,1165557979,1,1,0
10063645@N00,9,15,1166834553,1166834553,1,1,0
10063645@N00,10,11,1168141915,1168141915,1,1,0
10063645@N00,11,11,1168850110,1168850148,3,1,38
10063645@N00,12,15,1169186157,1169187468,6,1,1311
10251761@N04,13,24,1210153376,1210156841,10,1,3465
10259636@N05,14,21,1317439371,1317439371,1,1,0
10259636@N05,15,21,1317789827,1317789827,1,1,0
10259636@N05,16,16,1319243890,1319243890,1,1,0
10259636@N05,17,2,1321928618,1321928618,1,1,0
10259636@N05,18,21,1325908444,1325908444,1,1,0
10259636@N05,19,21,1335951724,1335951724,1,1,0
10259636@N05,20,2,1338767091,1338767091,1,1,0
10259636@N05,21,2,1342871983,1342871983,1,1,0
10338784@N02,22,16,1307797658,1307797658,1,1,0
10338784@N02,23,12,1308362901,1308362901,1,2,0
10338784@N02,23,16,1308362912,1308362912,1,2,0
10354154@N05,24,14,1284093935,1284093935,1,2,0
10354154@N05,24,20,1284091633,1284097563,3,2,5930
10354154@N05,25,20,1284699782,1284699782,1,1,0
10354154@N05,26,1,1346577776,1346594931,24,1,17155
10354154@N05,27,2,1381455994,1381456804,6,1,810
10354154@N05,28,1,1381573191,1381589621,4,2,16430
10354154@N05,28,16,1381567447,1381573041,7,2,5594
10354154@N05,29,2,1381645931,1381645965,2,1,34
10434252@N00,30,11,1342343605,1342343605,1,1,0
10482493@N05,31,20,1381996183,1382011673,3,4,15490
10482493@N05,31,2,1382010890,1382010890,1,4,0
10482493@N05,31,21,1382005643,1382007227,3,4,1584
10482493@N05,31,16,1381996941,1381997717,3,4,776
10486919@N00,32,16,1334697808,1334697808,1,1,0
10589348@N00,33,16,1365821219,1365821219,1,2,0
10589348@N00,33,1,1365821322,1365822018,5,2,696
10749810@N04,34,21,1247128033,1247132224,12,1,4191
10749810@N04,35,21,1250079016,1250093539,2,1,14523
10749810@N04,36,12,1278426908,1278427452,4,1,544
10749810@N04,37,12,1278518036,1278518168,9,1,132
11037560@N04,38,2,1308379702,1308379773,2,3,71
11037560@N04,38,13,1308365305,1308369996,5,3,4691
11037560@N04,38,21,1308373274,1308373274,1,3,0
11037560@N04,39,16,1308465767,1308465767,1,3,0
11037560@N04,39,2,1308458175,1308465217,2,3,7042
11037560@N04,39,21,1308465669,1308465669,1,3,0
11037560@N04,40,21,1315460681,1315460703,2,1,22
11037560@N04,41,21,1337849328,1337849328,1,2,0
11037560@N04,41,2,1337847287,1337847427,2,2,140
11037560@N04,42,1,1339475067,1339475204,4,1,137
11037560@N04,43,21,1355467431,1355467474,2,2,43
11037560@N04,43,2,1355467633,1355467997,5,2,364
11037560@N04,44,1,1370325413,1370325501,2,1,88
11154928@N04,45,6,1256291553,1256298042,10,1,6489
11154928@N04,46,6,1256473603,1256473771,2,1,168
11154928@N04,47,26,1379395836,1379396000,3,1,164
112042056@N06,48,10,1389668860,1389668868,2,1,8
112042056@N06,49,10,1389847825,1389860518,23,4,12693
112042056@N06,49,26,1389861832,1389863605,55,4,1773
112042056@N06,49,21,1389860107,1389860127,2,4,20
112042056@N06,49,2,1389833009,1389833009,1,4,0
113536856@N07,50,1,1171059148,1171059148,1,1,0
11452054@N00,51,19,1109344822,1109344822,1,1,0
11452054@N00,52,10,1109682993,1109682993,1,1,0
11452054@N00,53,19,1149534920,1149534920,1,1,0
11452054@N00,54,19,1155697520,1155697520,1,1,0
11452054@N00,55,28,1158987020,1158987020,1,3,0
11452054@N00,55,2,1158987430,1158987430,1,3,0
11452054@N00,55,13,1158987819,1158989526,9,3,1707
11452054@N00,56,26,1160363565,1160366056,7,2,2491
11452054@N00,56,1,1160358657,1160358657,1,2,0
11452054@N00,57,19,1172957726,1172957814,4,1,88
11452054@N00,58,26,1174254254,1174254334,3,1,80
11452054@N00,59,28,1271687266,1271687266,1,1,0
11452054@N00,60,2,1313576794,1313578279,9,1,1485
11452054@N00,61,9,1358055544,1358055544,1,2,0
11452054@N00,61,10,1358055661,1358055668,2,2,7
11452054@N00,62,7,1358417775,1358417775,1,1,0
11452054@N00,63,19,1377185006,1377185006,1,1,0
11452054@N00,64,12,1396950083,1396950083,1,1,0
11493297@N06,65,25,1276422419,1276422568,2,1,149
11493297@N06,66,25,1276485048,1276500089,2,2,15041
11493297@N06,66,10,1276477051,1276477051,1,2,0
11493297@N06,67,29,1276652487,1276652487,1,1,0
115792155@N07,68,2,1385823600,1385823600,4,1,0
11779319@N07,69,2,1350204992,1350204992,1,1,0
118442207@N03,70,20,1366434603,1366434603,1,1,0
11863277@N00,71,2,1314593977,1314593977,1,1,0
120428168@N03,72,12,1391253647,1391259551,16,1,5904
12067951@N00,73,7,1176712874,1176712874,1,1,0
12113931@N03,74,1,1331037331,1331037371,4,1,40
12113931@N03,75,1,1350302776,1350303451,23,1,675
12176100@N00,76,2,1123480101,1123480101,1,1,0
12364630@N00,77,1,1239503808,1239503872,2,1,64
12463089@N04,78,12,1355279486,1355279486,1,1,0
12463089@N04,79,16,1368095871,1368095871,1,1,0
12491204@N00,80,1,1204592901,1204593228,4,1,327
12491204@N00,81,15,1212123167,1212123167,1,1,0
12814307@N00,82,7,1207367565,1207367595,3,1,30
12832867@N03,83,1,1201268370,1201282428,16,1,14058
12914838@N00,84,26,1174196573,1174208887,5,1,12314
12914838@N00,85,15,1252573164,1252573164,1,1,0
12914838@N00,86,12,1253973837,1253973837,1,1,0
12914838@N00,87,11,1254451601,1254451863,2,1,262
12914838@N00,88,11,1254530803,1254530803,1,1,0
12914838@N00,89,19,1254562875,1254562875,1,1,0
12982579@N00,90,20,1347790948,1347790987,2,5,39
12982579@N00,90,11,1347764788,1347793571,4,5,28783
