userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10297518@N00,1,20,1277722924,1277724432,6,1,1508
10307040@N08,2,6,1382615844,1382615844,1,4,0
10307040@N08,2,8,1382615012,1382615012,1,4,0
10307040@N08,2,21,1382614961,1382614974,2,4,13
10307040@N08,2,22,1382615079,1382615828,9,4,749
10340578@N06,3,21,1364293448,1364294431,8,3,983
10340578@N06,3,22,1364296281,1364296291,2,3,10
10340578@N06,3,3,1364296318,1364296318,1,3,0
10340578@N06,4,8,1364454407,1364455533,10,3,1126
10340578@N06,4,2,1364438916,1364439134,6,3,218
10340578@N06,4,1,1364439296,1364439296,1,3,0
10422365@N03,5,24,1302063964,1302063964,1,1,0
10422365@N03,6,8,1302410413,1302410413,1,1,0
10422365@N03,7,7,1350190975,1350191213,2,1,238
11354044@N05,8,2,1337846692,1337846692,1,4,0
11354044@N05,8,12,1337828401,1337829688,3,4,1287
11354044@N05,8,15,1337823289,1337823289,1,4,0
11354044@N05,8,22,1337812953,1337816001,3,4,3048
11354044@N05,9,23,1337938198,1337938198,1,1,0
115391424@N05,10,12,1394345177,1394346638,9,1,1461
115391424@N05,11,2,1395545820,1395548262,20,2,2442
115391424@N05,11,1,1395546224,1395546984,19,2,760
115391424@N05,12,2,1398557262,1398561313,47,2,4051
115391424@N05,12,1,1398556765,1398559833,12,2,3068
12002368@N08,13,22,1312271626,1312271626,1,1,0
12002368@N08,14,8,1345006932,1345006932,1,1,0
12173213@N00,15,5,1322210239,1322210239,1,1,0
12173213@N00,16,5,1323162323,1323162412,5,1,89
123434952@N02,17,20,1384405560,1384405560,1,2,0
123434952@N02,17,8,1384411482,1384416641,6,2,5159
12384872@N08,18,8,1374801995,1374801995,1,1,0
12452841@N00,19,20,1324904857,1324904903,2,1,46
12452841@N00,20,27,1325030101,1325030101,1,2,0
12452841@N00,20,20,1325024811,1325024885,2,2,74
12452841@N00,21,21,1397810972,1397818056,2,1,7084
12452841@N00,22,21,1397880438,1397906217,12,3,25779
12452841@N00,22,20,1397870041,1397870132,6,3,91
12452841@N00,22,24,1397880139,1397880329,3,3,190
12452841@N00,23,21,1397990484,1397990712,8,5,228
12452841@N00,23,23,1397988216,1397988216,1,5,0
12452841@N00,23,3,1397986899,1397987261,2,5,362
12452841@N00,23,10,1397986381,1397986539,2,5,158
12452841@N00,23,20,1397989105,1397989184,2,5,79
12452841@N00,24,21,1398081594,1398081594,1,1,0
12452841@N00,25,21,1398128003,1398130973,8,2,2970
12452841@N00,25,20,1398132061,1398141365,18,2,9304
12455012@N00,26,20,1311751653,1311751826,2,1,173
12455012@N00,27,6,1312029909,1312031758,3,1,1849
12505664@N00,28,20,1378794137,1378794137,1,1,0
12505664@N00,29,20,1380089934,1380089934,1,1,0
12527903@N00,30,15,1245553321,1245554608,3,2,1287
12527903@N00,30,6,1245563625,1245563625,1,2,0
12767075@N02,31,6,1372820162,1372820162,1,1,0
12810816@N08,32,7,1386392662,1386409187,4,1,16525
13322960@N00,33,8,1290144238,1290156388,29,2,12150
13322960@N00,33,6,1290166473,1290169929,12,2,3456
13322960@N00,34,6,1290218863,1290218977,2,1,114
13715300@N06,35,24,1220838012,1220838012,1,1,0
13715300@N06,36,8,1221024529,1221028507,77,1,3978
13715300@N06,37,4,1221125265,1221134480,28,1,9215
13897419@N02,38,16,1362101160,1362108720,9,1,7560
13991984@N05,39,8,1367382112,1367382112,1,1,0
14003952@N04,40,20,1364946871,1364964870,6,3,17999
14003952@N04,40,6,1364936556,1364962018,31,3,25462
14003952@N04,40,5,1364960626,1364960770,12,3,144
14224905@N08,41,8,1272525324,1272526567,2,1,1243
14224905@N08,42,8,1359967436,1359967436,1,1,0
14674202@N04,43,6,1304154004,1304154004,1,1,0
15702545@N00,44,18,1239457241,1239457241,1,1,0
16501075@N00,45,2,1319340404,1319340486,2,2,82
16501075@N00,45,1,1319340295,1319340295,1,2,0
17155295@N00,46,8,1239067615,1239072827,9,1,5212
17267375@N05,47,20,1345192052,1345192052,1,1,0
17407749@N00,48,1,1099206009,1099206009,1,1,0
17407749@N00,49,22,1112664300,1112664392,3,1,92
17407749@N00,50,22,1112699346,1112699529,3,1,183
17407749@N00,51,5,1136640022,1136640022,1,1,0
17407749@N00,52,8,1144555449,1144559160,4,1,3711
17407749@N00,53,5,1146293397,1146293397,1,1,0
17407749@N00,54,20,1152766064,1152766064,1,1,0
17407749@N00,55,21,1152875209,1152875209,1,1,0
17691489@N06,56,22,1177209077,1177209077,1,1,0
17691489@N06,57,24,1189833260,1189833260,1,1,0
17757546@N00,58,6,1211237800,1211237800,1,1,0
17835110@N00,59,1,1216259416,1216260603,8,1,1187
19544554@N00,60,6,1153022501,1153049818,64,1,27317
20448026@N00,61,20,1265422249,1265422249,1,1,0
21147679@N08,62,20,1380976789,1380976789,1,3,0
21147679@N08,62,22,1380970493,1380970493,1,3,0
21147679@N08,62,23,1380962735,1380963549,2,3,814
21147679@N08,63,28,1381019998,1381019998,1,1,0
21147679@N08,64,22,1383137929,1383137929,1,1,0
21225669@N00,65,6,1154493299,1154497221,7,1,3922
21334807@N00,66,1,1352039956,1352039956,1,1,0
21442750@N07,67,5,1293954444,1293965395,11,1,10951
21442750@N07,68,24,1294118672,1294118790,2,2,118
21442750@N07,68,20,1294126521,1294127069,4,2,548
21550108@N02,69,2,1233065513,1233065513,1,1,0
21772716@N03,70,8,1395983979,1395983979,1,1,0
21872605@N00,71,22,1372322193,1372325044,5,2,2851
21872605@N00,71,3,1372322432,1372322432,1,2,0
21872605@N00,72,20,1372464341,1372464341,1,1,0
21903607@N04,73,5,1313500304,1313500304,1,1,0
21929939@N06,74,20,1345036549,1345036549,1,1,0
22087824@N00,75,17,1239398100,1239398280,3,3,180
22087824@N00,75,8,1239400860,1239402360,5,3,1500
22087824@N00,75,20,1239393871,1239427920,2,3,34049
22326777@N06,76,8,1333954308,1333959365,3,2,5057
22326777@N06,76,1,1333949430,1333949430,1,2,0
22613977@N04,77,1,1234236379,1234236399,6,2,20
22613977@N04,77,2,1234236387,1234236387,1,2,0
22669489@N00,78,20,1307524637,1307524637,1,5,0
22669489@N00,78,22,1307519019,1307520910,7,5,1891
22669489@N00,78,1,1307512530,1307514543,7,5,2013
22669489@N00,78,8,1307507242,1307507401,4,5,159
22669489@N00,78,21,1307526402,1307526725,3,5,323
22765417@N06,79,18,1289707133,1289707167,2,1,34
22765417@N06,80,18,1300495340,1300495340,1,1,0
22765417@N06,81,23,1300603504,1300603504,1,1,0
22765417@N06,82,18,1318136966,1318137464,5,1,498
22765417@N06,83,18,1325212425,1325212619,3,1,194
22765417@N06,84,15,1325650727,1325653449,15,2,2722
22765417@N06,84,3,1325655491,1325655519,2,2,28
22765417@N06,85,3,1327820875,1327820875,1,2,0
22765417@N06,85,22,1327819410,1327820944,19,2,1534
22765417@N06,86,15,1329004141,1329006108,8,1,1967
22765417@N06,87,18,1330834394,1330834402,2,1,8
22765417@N06,88,15,1333242892,1333242892,1,1,0
22765417@N06,89,15,1333887773,1333887773,1,1,0
22765417@N06,90,15,1334064495,1334064495,1,1,0
22765417@N06,91,15,1334975603,1334982206,8,1,6603
22765417@N06,92,15,1338859447,1338859845,2,1,398
22765417@N06,93,8,1345347004,1345347010,2,1,6
22765417@N06,94,15,1347142127,1347145044,8,1,2917
22765417@N06,95,15,1350776928,1350780637,16,1,3709
22765417@N06,96,7,1351932912,1351943540,4,1,10628
22765417@N06,97,15,1356144437,1356147899,9,1,3462
22765417@N06,98,15,1366529082,1366531460,4,1,2378
22765417@N06,99,15,1375503202,1375503389,2,1,187
22765417@N06,100,15,1376174859,1376178226,6,1,3367
22765417@N06,101,25,1388729295,1388729610,3,1,315
22765417@N06,102,18,1393641979,1393645154,4,1,3175
22765417@N06,103,25,1394248720,1394252662,11,1,3942
22765417@N06,104,15,1395445617,1395451642,12,1,6025
22783145@N04,105,20,1258257067,1258257067,1,1,0
22896220@N05,106,27,1378611135,1378611135,1,1,0
23063899@N07,107,22,1303043983,1303043983,1,1,0
23063899@N07,108,5,1309584082,1309584082,1,1,0
23063899@N07,109,1,1321412201,1321412201,1,1,0
23090753@N06,110,6,1317612789,1317630487,26,1,17698
23090753@N06,111,6,1317668443,1317668443,1,1,0
23090753@N06,112,6,1317697675,1317698879,9,1,1204
23204349@N00,113,6,1239347307,1239350402,33,1,3095
23204349@N00,114,8,1239418685,1239419545,4,1,860
23386158@N00,115,24,1351913966,1351914568,2,1,602
23562237@N00,116,21,1242028909,1242028970,2,1,61
23562237@N00,117,5,1254603107,1254603107,1,1,0
23614242@N00,118,20,1195822340,1195822340,1,1,0
23850658@N06,119,20,1359602911,1359602911,1,1,0
23850658@N06,120,5,1385615650,1385615650,1,1,0
24328671@N07,121,16,1372921586,1372921586,1,1,0
24484507@N00,122,1,1178958177,1178958614,2,1,437
24484507@N00,123,5,1179059258,1179059258,1,1,0
24564553@N08,124,1,1264829001,1264836644,7,1,7643
24649145@N03,125,8,1333779359,1333786193,85,1,6834
24649145@N03,126,20,1333879494,1333879568,3,1,74
24670956@N04,127,11,1210969181,1210969181,1,1,0
24694600@N00,128,21,1298956397,1298956397,1,1,0
24896306@N00,129,1,915116400,915116400,1,1,0
24896306@N00,130,1,1199248173,1199260607,2,1,12434
24896306@N00,131,1,1383464859,1383468162,2,1,3303
25123696@N08,132,20,1288965026,1288965026,1,1,0
25368895@N00,133,8,1353736337,1353738422,4,1,2085
25501326@N02,134,10,1288710023,1288710023,1,1,0
25501326@N02,135,22,1288755824,1288770736,4,2,14912
25501326@N02,135,3,1288761445,1288765952,11,2,4507
25501326@N02,136,6,1294298312,1294298312,1,1,0
25501326@N02,137,7,1320286315,1320305338,12,1,19023
25501326@N02,138,8,1326000722,1326006119,13,1,5397
