photoID,userID,dateTaken,poiID,poiTheme,poiFreq,seqID
268535960,10063645@N00,1160719626,11,Education,1008,1
284505324,10063645@N00,1162254208,2,Transport,916,2
285538933,10063645@N00,1162340788,11,Education,1008,3
289494173,10063645@N00,1162700795,16,Shopping,848,4
289494204,10063645@N00,1162701017,21,Museum,618,4
289494280,10063645@N00,1162701029,21,Museum,618,4
294574920,10063645@N00,1163143520,15,Shopping,718,5
294574988,10063645@N00,1163145517,20,Structure,379,5
294575044,10063645@N00,1163145540,20,Structure,379,5
294575105,10063645@N00,1163145571,20,Structure,379,5
294575229,10063645@N00,1163145583,20,Structure,379,5
294575288,10063645@N00,1163145799,20,Structure,379,5
294575348,10063645@N00,1163145805,20,Structure,379,5
304482157,10063645@N00,1164183565,11,Education,1008,6
305900726,10063645@N00,1164347993,10,Education,1437,7
305900765,10063645@N00,1164348008,10,Education,1437,7
305900823,10063645@N00,1164348029,10,Education,1437,7
305900884,10063645@N00,1164348050,10,Education,1437,7
305900925,10063645@N00,1164348061,10,Education,1437,7
305901017,10063645@N00,1164348084,10,Education,1437,7
305901079,10063645@N00,1164348100,10,Education,1437,7
305901125,10063645@N00,1164348124,10,Education,1437,7
305901166,10063645@N00,1164348143,10,Education,1437,7
305901206,10063645@N00,1164348219,10,Education,1437,7
305901398,10063645@N00,1164348392,10,Education,1437,7
305901282,10063645@N00,1164348414,10,Education,1437,7
305901456,10063645@N00,1164348636,10,Education,1437,7
305901545,10063645@N00,1164348917,10,Education,1437,7
317814964,10063645@N00,1165557979,15,Shopping,718,8
330747739,10063645@N00,1166834553,15,Shopping,718,9
355785344,10063645@N00,1168141915,11,Education,1008,10
359901093,10063645@N00,1168850110,11,Education,1008,11
359901162,10063645@N00,1168850132,11,Education,1008,11
359901249,10063645@N00,1168850148,11,Education,1008,11
378814387,10063645@N00,1169186157,15,Shopping,718,12
363564459,10063645@N00,1169186911,15,Shopping,718,12
363564562,10063645@N00,1169187405,15,Shopping,718,12
363564670,10063645@N00,1169187428,15,Shopping,718,12
363564790,10063645@N00,1169187446,15,Shopping,718,12
363564895,10063645@N00,1169187468,15,Shopping,718,12
2475858276,10251761@N04,1210153376,24,Structure,76,13
2475861662,10251761@N04,1210153731,24,Structure,76,13
2475047161,10251761@N04,1210153910,24,Structure,76,13
2475049799,10251761@N04,1210153910,24,Structure,76,13
2475050567,10251761@N04,1210154103,24,Structure,76,13
2475051527,10251761@N04,1210154356,24,Structure,76,13
2475871234,10251761@N04,1210154417,24,Structure,76,13
2475054783,10251761@N04,1210154473,24,Structure,76,13
2475874074,10251761@N04,1210154512,24,Structure,76,13
2475058155,10251761@N04,1210156841,24,Structure,76,13
6199716077,10259636@N05,1317439371,21,Museum,618,14
6213730481,10259636@N05,1317789827,21,Museum,618,15
6268765778,10259636@N05,1319243890,16,Shopping,848,16
6382485985,10259636@N05,1321928618,2,Transport,916,17
6652484249,10259636@N05,1325908444,21,Museum,618,18
7136182121,10259636@N05,1335951724,21,Museum,618,19
7333973676,10259636@N05,1338767091,2,Transport,916,20
7617239262,10259636@N05,1342871983,2,Transport,916,21
7357471068,10338784@N02,1307797658,16,Shopping,848,22
7172111979,10338784@N02,1308362901,12,Education,517,23
7357471836,10338784@N02,1308362912,16,Shopping,848,23
4999703206,10354154@N05,1284091633,20,Structure,379,24
4999712928,10354154@N05,1284093935,14,Religion,19,24
4999714564,10354154@N05,1284097276,20,Structure,379,24
4999113371,10354154@N05,1284097563,20,Structure,379,24
4999088205,10354154@N05,1284699782,20,Structure,379,25
7965790134,10354154@N05,1346577776,1,Transport,1496,26
7965794142,10354154@N05,1346577856,1,Transport,1496,26
7965795006,10354154@N05,1346577897,1,Transport,1496,26
7965796156,10354154@N05,1346577914,1,Transport,1496,26
7965797746,10354154@N05,1346577958,1,Transport,1496,26
7965798714,10354154@N05,1346579343,1,Transport,1496,26
7965799570,10354154@N05,1346579364,1,Transport,1496,26
7965800922,10354154@N05,1346579380,1,Transport,1496,26
7965801690,10354154@N05,1346579415,1,Transport,1496,26
7965802432,10354154@N05,1346579487,1,Transport,1496,26
7965811290,10354154@N05,1346594130,1,Transport,1496,26
7965811632,10354154@N05,1346594141,1,Transport,1496,26
7965812036,10354154@N05,1346594163,1,Transport,1496,26
7965812480,10354154@N05,1346594190,1,Transport,1496,26
7965812890,10354154@N05,1346594208,1,Transport,1496,26
7965813318,10354154@N05,1346594240,1,Transport,1496,26
7965813794,10354154@N05,1346594263,1,Transport,1496,26
7965814260,10354154@N05,1346594280,1,Transport,1496,26
7965814752,10354154@N05,1346594292,1,Transport,1496,26
7965815280,10354154@N05,1346594819,1,Transport,1496,26
7965815648,10354154@N05,1346594839,1,Transport,1496,26
7965816086,10354154@N05,1346594898,1,Transport,1496,26
7965816482,10354154@N05,1346594909,1,Transport,1496,26
7965816948,10354154@N05,1346594931,1,Transport,1496,26
10316835406,10354154@N05,1381455994,2,Transport,916,27
10316834646,10354154@N05,1381456124,2,Transport,916,27
10316806215,10354154@N05,1381456473,2,Transport,916,27
10316785354,10354154@N05,1381456779,2,Transport,916,27
10316831626,10354154@N05,1381456798,2,Transport,916,27
10316969043,10354154@N05,1381456804,2,Transport,916,27
10347470534,10354154@N05,1381567447,16,Shopping,848,28
10347482035,10354154@N05,1381568012,16,Shopping,848,28
10347671913,10354154@N05,1381568017,16,Shopping,848,28
10347487665,10354154@N05,1381570110,16,Shopping,848,28
10347471774,10354154@N05,1381572910,16,Shopping,848,28
10347484765,10354154@N05,1381572931,16,Shopping,848,28
10347472296,10354154@N05,1381573041,16,Shopping,848,28
10347477935,10354154@N05,1381573191,1,Transport,1496,28
10347471126,10354154@N05,1381585686,1,Transport,1496,28
10347672393,10354154@N05,1381589612,1,Transport,1496,28
10347478885,10354154@N05,1381589621,1,Transport,1496,28
10390455296,10354154@N05,1381645931,2,Transport,916,29
10390428295,10354154@N05,1381645965,2,Transport,916,29
8118083884,10434252@N00,1342343605,11,Education,1008,30
11278364473,10482493@N05,1381996183,20,Structure,379,31
11278366393,10482493@N05,1381996941,16,Shopping,848,31
11278246105,10482493@N05,1381997020,16,Shopping,848,31
11278317404,10482493@N05,1381997717,16,Shopping,848,31
11278318974,10482493@N05,1382003660,20,Structure,379,31
11278291656,10482493@N05,1382005643,21,Museum,618,31
11278375273,10482493@N05,1382006808,21,Museum,618,31
11278254835,10482493@N05,1382007227,21,Museum,618,31
11278297446,10482493@N05,1382010890,2,Transport,916,31
11278258685,10482493@N05,1382011673,20,Structure,379,31
8308764102,10486919@N00,1334697808,16,Shopping,848,32
8646428666,10589348@N00,1365821219,16,Shopping,848,33
8645333195,10589348@N00,1365821322,1,Transport,1496,33
8646436088,10589348@N00,1365821400,1,Transport,1496,33
8645344121,10589348@N00,1365821579,1,Transport,1496,33
8645347247,10589348@N00,1365821652,1,Transport,1496,33
8646462062,10589348@N00,1365822018,1,Transport,1496,33
3815608697,10749810@N04,1247128033,21,Museum,618,34
3816421214,10749810@N04,1247128070,21,Museum,618,34
3815610355,10749810@N04,1247128116,21,Museum,618,34
3816423010,10749810@N04,1247128182,21,Museum,618,34
3816424124,10749810@N04,1247128292,21,Museum,618,34
3815613039,10749810@N04,1247128470,21,Museum,618,34
3815614113,10749810@N04,1247128788,21,Museum,618,34
