poiID,poiName,poiLat,poiLon,theme
1,Fushimiinari,34.967166,135.7725,Others
2,Toji,34.980308,135.747687,Others
3,Tofukuji,34.978222,135.773527,Others
4,Kyoto_station,34.985458,135.757751,Others
5,33gendo,34.988664,135.771784,Others
6,Nijojo,35.012691,135.750319,Others
7,Shijo_karasuma,35.003833,135.759833,Others
8,Kiyomizudera,34.9955,135.783,Others
9,Yasaka_jinja,35.004488,135.778311,Others
10,Nanzenji,35.011333,135.792,Others
11,Heianjingu,35.016972,135.780883,Others
12,Sanjoohashi,35.009084,135.772261,Others
13,Kyotogyoen,35.022999,135.761,Others
14,Kamogawa_delta,35.030166,135.771666,Others
15,Tetsugaku_no_michi,35.027833,135.792833,Others
16,Ginkakuji,35.0265,135.7985,Others
17,Kibune_kurama,35.1181,135.7708,Others
18,Kitanotenmangu,35.030497,135.735,Others
19,Arashiyama,35.017611,135.67435,Others
20,Kinkakuji,35.039666,135.728666,Others
21,Hanamikoji,35.00685,135.775252,Others
