name,poiCat,poiLat,poiLon,poiID
Peace Memorial Park,attractions,34.3925863,132.4523059,1
Atomic Bomb Dome,attractions,34.395483,132.453592,2
Hiroshima-jō,attractions,34.531098,132.5104972,3
Shukkei-en,attractions,34.3993953,132.4670928,4
Mazda Museum,attractions,34.37780799999999,132.5038756,5
Hiroshima City Museum of Contemporary Art,attractions,34.38612539999999,132.4731744,6
Hiroshima City Manga Library,attractions,34.3877129,132.4744909,7
Naka Incineration Plant,attractions,34.3584652,132.4419613,8
Hijiyama-kōen,attractions,34.3837981,132.4730716,9
Hiroshima Museum of Art,attractions,34.3986962,132.4581124,10
Okonomi-mura,restaurants,34.3914342,132.4619014,11
Hassei,restaurants,34.3877049,132.4604235,12
Tanpopo,restaurants,34.4411016,132.4579452,13
Roopali,restaurants,34.397624,132.479029,14
Maido Ōkini,restaurants,34.3883756,132.4643673,15
Sushi-tei,restaurants,34.399473,132.4777447,16
Vegimo,restaurants,34.4732113,132.4867967,17
Oyster Conclave Kaki-tei,restaurants,34.3934652,132.4544452,18
Mequl,restaurants,34.3960283,132.4486116,19
Chari,restaurants,34.3766643,132.4398377,20
Osanpo Masara,restaurants,34.390236,132.4498397,21
Andersen,restaurants,34.393017,132.4583489,22
Ristorante Mario,restaurants,34.3902755,132.4521267,23
Mazda Zoom Zoom Stadium,entertainment,34.391887,132.484576,24
Aki Hiroshima Busho-Tai,entertainment,34.4029419,132.5999643,25
Ninjō Ganko Yatai,nightlife,34.3907233,132.465598,26
Cinquecento,nightlife,34.39851499999999,132.472477,27
Lotus,nightlife,34.3784514,132.4740545,28
Tokyu Hands,shopping,34.3945845,132.4620729,29
Mitsukoshi,shopping,34.3931453,132.4644018,30
