name,theme,poiLat,poiLon,poiID
Kenroku-en,attractions,36.56212779999999,136.6626515,1
Gyokusen Inmaru Garden,attractions,36.5636902,136.6639003,2
DT Suzuki Museum,attractions,36.5576632,136.6609126,3
Ōmi-chō Market,attractions,36.571285,136.6568286,4
21st Century Museum of Contemporary Art,attractions,36.5608713,136.6585251,5
Kaikarō,attractions,36.57242980000001,136.6671263,6
Myōryū-ji,attractions,36.5553843,136.6489974,7
Kanazawa Castle Park,attractions,36.5659458,136.6588451,8
Kanazawa Yuwaku Edo Village,attractions,36.4903378,136.7563974,9
Nagamachi Yūzen-kan,attractions,36.56496409999999,136.6477197,10
Kanazawa Phonograph Museum,attractions,36.5712742,136.6626916,11
Kanazawa City Ashigaru Museum,attractions,36.565897,136.649861,12
Sentō,restaurants,36.5726361,136.6641671,13
Kaiseki Tsuruko,restaurants,36.569941,136.6538156,14
Full of Beans,restaurants,36.559523,136.654622,15
Janome-sushi Honten,restaurants,36.5614393,136.6546385,16
Musashi,restaurants,36.5897694,136.6617944,17
Plat Home,restaurants,36.5740105,136.6581366,18
Curio Espresso &amp; Vintage Design,restaurants,36.5733357,136.6554211,19
Aashirwad,restaurants,36.5645396,136.6523483,20
Osteria del Campagne,restaurants,36.5602804,136.6500299,21
Cottage,restaurants,36.5623483,136.6526747,22
Chōhachi Kanazawa Ekimae-ten,restaurants,36.5771166,136.6508061,23
Forus,restaurants,36.5791483,136.6497543,24
Los Angeles,restaurants,36.5689685,136.6608765,25
Ishikawa Prefectural Nō Theatre,entertainment,36.5595559,136.6632711,26
Sturgis Rock Bar,nightlife,36.5586616,136.6512298,27
Oriental Brewing,nightlife,36.578527,136.6474074,28
Murakami,shopping,36.5445291,136.6367442,29
