name,theme,poiLat,poiLon,poiID
Matsumoto-jō,attractions,36.238653,137.9688674,1
Japan Ukiyo-e Museum,attractions,36.2318727,137.9345512,2
Nawate-dōri,attractions,36.2344424,137.9695876,3
Matsumoto City Museum of Art,attractions,36.23162800000001,137.976497,4
Utsukushi-ga-hara Open Air Museum,attractions,36.2308382,138.1402043,5
Kaichi School Museum,attractions,36.24305470000001,137.9682609,6
Matsumoto Karaage Center,restaurants,36.231189,137.9645373,7
Menshō Sakura,restaurants,36.2332135,137.9678931,8
Katsu Gen Honten,restaurants,36.2363319,137.9713592,9
Nomugi,restaurants,36.1299244,137.7245341,10
Matsumoto Brewery Taproom,nightlife,36.2339388,137.9725021,11
Belle Amie Doll Shop,shopping,36.2317143,137.9733978,12
