name,theme,poiLat,poiLon,poiID
Peace Park,attractions,32.77639680000001,129.8636495,1
Nagasaki Atomic Bomb Museum,attractions,32.7725222,129.8645521,2
Dejima,attractions,32.74350320000001,129.8729523,3
Ōura Cathedral,attractions,32.7341535,129.8701372,4
Gunkanjima,attractions,32.6276331,129.7385256,5
Suwa-jinja,attractions,32.7543032,129.8819114,6
Nagasaki Museum of History &amp; Culture,attractions,32.7529073,129.8794878,7
Sōfuku-ji,attractions,32.7424466,129.8834506,8
Inasa-yama,attractions,32.7526235,129.8495163,9
Nagai Takashi Memorial Museum,attractions,32.779045,129.8656492,10
Nagasaki Ropeway,attractions,32.7561392,129.8545102,11
Urakami Cathedral,attractions,32.776155,129.868387,12
Nakashima-gawa Bridges,attractions,32.7471506,129.8801045,13
Nagasaki Prefectural Art Museum,attractions,32.7419105,129.8703177,14
Ko-shashin-shiryōkan,attractions,32.65756389999999,129.7544434,15
Shippoku Hamakatsu,restaurants,32.7433546,129.8813612,16
Organic Restaurant Tia,restaurants,32.7419838,129.8766053,17
Dejima Wharf,restaurants,32.7438983,129.8706811,18
Ryōtei Kagetsu,restaurants,32.7404401,129.8798919,19
No no Budo,restaurants,32.5299563,130.0304886,20
Higashi-yamate Chikyū-kan,restaurants,32.7603982,129.877794,21
Yossō,restaurants,32.74450640000001,129.8787748,22
Shikairō,restaurants,32.73646950000001,129.8698217,23
Barakamon,nightlife,32.9449891,129.6588405,24
Inokuchiya,nightlife,32.7503334,129.8778888,25
Fukusaya,shopping,32.7519981,129.8706947,26
Mirai Nagasaki Cocowalk,shopping,32.7625341,129.8646484,27
