name,poiCat,poiLat,poiLon,poiID
Shuri-jō,attractions,26.2170449,127.7194833,1
Okinawa Prefectural Museum &amp; Art Museum,attractions,26.2273138,127.6938489,2
Daichi Makishi Kōsetsu Ichiba,attractions,26.2151942,127.6849187,3
Tsuboya Pottery Street,attractions,26.212885,127.6918486,4
Shikina-en,attractions,26.2038547,127.7153279,5
Fukushū-en,attractions,26.21802,127.6757006,6
Naha City Traditional Arts &amp; Crafts Center,attractions,26.21714910000001,127.6903777,7
Yūnangi,restaurants,26.2144641,127.6819102,8
Shanghai Wantan Rō,restaurants,26.2206467,127.6800803,9
Ashibiunā,restaurants,26.21957,127.7196355,10
Mikasa,restaurants,26.2176353,127.6790651,11
Rehab,nightlife,26.1892336,127.6976962,12
American Village,shopping,26.3169528,127.7578503,13
San-A Naha Main Place,shopping,26.2256596,127.6950574,14
AEON Mall Chatan,shopping,26.3143904,127.7572027,15
T Galleria by DFS,shopping,26.2230667,127.6972666,16
